node_id,feature_id,value
0,350,1
0,557,1
0,685,1
0,1130,1
1,115,1
1,130,1
1,142,1
1,149,1
1,154,1
1,226,1
1,237,1
1,257,1
1,264,1
1,280,1
1,530,1
1,549,1
1,557,1
1,558,1
1,574,1
1,581,1
1,649,1
1,655,1
1,700,1
1,712,1
1,719,1
1,722,1
1,731,1
1,733,1
1,737,1
1,739,1
1,797,1
1,816,1
1,834,1
1,900,1
1,902,1
1,923,1
1,997,1
1,1002,1
1,1039,1
1,1053,1
1,1074,1
1,1098,1
1,1128,1
1,1130,1
1,1135,1
1,1164,1
1,1172,1
1,1185,1
1,1193,1
1,1247,1
1,1265,1
1,1309,1
1,1472,1
1,1476,1
1,1593,1
1,1600,1
1,1613,1
1,1670,1
2,36,1
2,45,1
2,78,1
2,115,1
2,182,1
2,348,1
2,350,1
2,386,1
2,389,1
2,398,1
2,502,1
2,557,1
2,574,1
2,591,1
2,679,1
2,705,1
2,788,1
2,793,1
2,825,1
2,877,1
2,923,1
2,938,1
2,940,1
2,989,1
2,992,1
2,1045,1
2,1073,1
2,1130,1
2,1166,1
2,1183,1
2,1233,1
2,1287,1
2,1313,1
2,1620,1
2,1695,1
3,4,1
3,11,1
3,15,1
3,68,1
3,91,1
3,115,1
3,121,1
3,135,1
3,149,1
3,154,1
3,165,1
3,181,1
3,202,1
3,240,1
3,246,1
3,262,1
3,327,1
3,345,1
3,365,1
3,386,1
3,389,1
3,435,1
3,462,1
3,530,1
3,534,1
3,553,1
3,555,1
3,557,1
3,558,1
3,574,1
3,581,1
3,591,1
3,700,1
3,733,1
3,758,1
3,777,1
3,789,1
3,796,1
3,797,1
3,923,1
3,1027,1
3,1034,1
3,1044,1
3,1049,1
3,1099,1
3,1103,1
3,1125,1
3,1130,1
3,1164,1
3,1187,1
3,1211,1
3,1233,1
3,1282,1
3,1287,1
3,1294,1
3,1300,1
3,1309,1
3,1321,1
3,1350,1
3,1366,1
3,1380,1
3,1407,1
3,1476,1
3,1546,1
3,1560,1
3,1593,1
3,1600,1
3,1613,1
3,1615,1
3,1631,1
4,13,1
4,58,1
4,106,1
4,115,1
4,141,1
4,154,1
4,176,1
4,190,1
4,227,1
4,259,1
4,275,1
4,280,1
4,292,1
4,296,1
4,365,1
4,386,1
4,389,1
4,423,1
4,442,1
4,455,1
4,487,1
4,488,1
4,500,1
4,501,1
4,505,1
4,543,1
4,557,1
4,581,1
4,591,1
4,646,1
4,655,1
4,665,1
4,700,1
4,701,1
4,777,1
4,795,1
4,797,1
4,798,1
4,823,1
4,879,1
4,950,1
4,989,1
4,1099,1
4,1107,1
4,1108,1
4,1130,1
4,1131,1
4,1134,1
4,1164,1
4,1193,1
4,1233,1
4,1241,1
4,1244,1
4,1245,1
4,1265,1
4,1300,1
4,1304,1
4,1356,1
4,1382,1
4,1395,1
4,1429,1
4,1476,1
4,1484,1
4,1486,1
4,1495,1
4,1524,1
4,1560,1
4,1600,1
4,1605,1
4,1640,1
4,1696,1
5,15,1
5,29,1
5,32,1
5,45,1
5,48,1
5,115,1
5,116,1
5,131,1
5,141,1
5,142,1
5,149,1
5,154,1
5,168,1
5,172,1
5,181,1
5,228,1
5,257,1
5,258,1
5,335,1
5,345,1
5,365,1
5,384,1
5,389,1
5,392,1
5,422,1
5,433,1
5,435,1
5,436,1
5,483,1
5,488,1
5,499,1
5,500,1
5,501,1
5,507,1
5,514,1
5,525,1
5,526,1
5,543,1
5,549,1
5,557,1
5,575,1
5,581,1
5,584,1
5,591,1
5,607,1
5,610,1
5,616,1
5,633,1
5,645,1
5,649,1
5,655,1
5,665,1
5,667,1
5,687,1
5,690,1
5,700,1
5,702,1
5,703,1
5,706,1
5,731,1
5,739,1
5,781,1
5,785,1
5,801,1
5,816,1
5,847,1
5,878,1
5,902,1
5,906,1
5,908,1
5,916,1
5,923,1
5,949,1
5,956,1
5,992,1
5,998,1
5,1005,1
5,1020,1
5,1046,1
5,1056,1
5,1063,1
5,1074,1
5,1099,1
5,1105,1
5,1130,1
5,1155,1
5,1161,1
5,1172,1
5,1183,1
5,1233,1
5,1243,1
5,1247,1
5,1265,1
5,1300,1
5,1304,1
5,1309,1
5,1333,1
5,1344,1
5,1348,1
5,1349,1
5,1367,1
5,1378,1
5,1382,1
5,1407,1
5,1429,1
5,1430,1
5,1434,1
5,1446,1
5,1458,1
5,1460,1
5,1472,1
5,1476,1
5,1487,1
5,1488,1
5,1494,1
5,1497,1
5,1501,1
5,1505,1
5,1524,1
5,1573,1
5,1598,1
5,1613,1
5,1620,1
5,1624,1
5,1651,1
5,1663,1
5,1666,1
5,1670,1
5,1674,1
5,1679,1
5,1681,1
5,1695,1
6,13,1
6,14,1
6,33,1
6,36,1
6,45,1
6,46,1
6,50,1
6,57,1
6,78,1
6,80,1
6,90,1
6,113,1
6,115,1
6,116,1
6,130,1
6,131,1
6,142,1
6,146,1
6,152,1
6,154,1
6,159,1
6,181,1
6,208,1
6,219,1
6,235,1
6,257,1
6,264,1
6,276,1
6,294,1
6,311,1
6,327,1
6,336,1
6,348,1
6,351,1
6,352,1
6,389,1
6,400,1
6,405,1
6,408,1
6,410,1
6,447,1
6,488,1
6,494,1
6,499,1
6,507,1
6,514,1
6,516,1
6,518,1
6,529,1
6,542,1
6,549,1
6,573,1
6,574,1
6,577,1
6,578,1
6,581,1
6,585,1
6,591,1
6,596,1
6,609,1
6,630,1
6,649,1
6,659,1
6,662,1
6,677,1
6,679,1
6,687,1
6,689,1
6,692,1
6,697,1
6,700,1
6,717,1
6,722,1
6,725,1
6,728,1
6,731,1
6,733,1
6,737,1
6,739,1
6,749,1
6,767,1
6,791,1
6,797,1
6,798,1
6,816,1
6,831,1
6,844,1
6,848,1
6,860,1
6,870,1
6,879,1
6,902,1
6,905,1
6,923,1
6,924,1
6,933,1
6,939,1
6,940,1
6,975,1
6,978,1
6,988,1
6,991,1
6,997,1
6,998,1
6,1003,1
6,1015,1
6,1039,1
6,1053,1
6,1055,1
6,1073,1
6,1081,1
6,1147,1
6,1152,1
6,1160,1
6,1206,1
6,1215,1
6,1224,1
6,1240,1
6,1242,1
6,1245,1
6,1247,1
6,1253,1
6,1262,1
6,1286,1
6,1309,1
6,1319,1
6,1336,1
6,1356,1
6,1359,1
6,1362,1
6,1382,1
6,1393,1
6,1399,1
6,1407,1
6,1416,1
6,1460,1
6,1468,1
6,1472,1
6,1475,1
6,1478,1
6,1485,1
6,1497,1
6,1499,1
6,1510,1
6,1525,1
6,1526,1
6,1531,1
6,1535,1
6,1561,1
6,1570,1
6,1613,1
6,1616,1
6,1631,1
6,1650,1
6,1670,1
6,1680,1
7,15,1
7,45,1
7,48,1
7,57,1
7,58,1
7,66,1
7,79,1
7,81,1
7,87,1
7,95,1
7,96,1
7,105,1
7,114,1
7,115,1
7,141,1
7,143,1
7,149,1
7,154,1
7,168,1
7,174,1
7,181,1
7,195,1
7,198,1
7,201,1
7,210,1
7,228,1
7,232,1
7,236,1
7,243,1
7,259,1
7,277,1
7,310,1
7,328,1
7,330,1
7,341,1
7,342,1
7,345,1
7,354,1
7,365,1
7,368,1
7,374,1
7,376,1
7,379,1
7,389,1
7,424,1
7,433,1
7,446,1
7,488,1
7,493,1
7,502,1
7,507,1
7,541,1
7,542,1
7,543,1
7,557,1
7,574,1
7,581,1
7,590,1
7,591,1
7,592,1
7,603,1
7,604,1
7,609,1
7,613,1
7,631,1
7,638,1
7,654,1
7,655,1
7,658,1
7,683,1
7,695,1
7,700,1
7,703,1
7,706,1
7,710,1
7,720,1
7,722,1
7,724,1
7,726,1
7,753,1
7,756,1
7,780,1
7,792,1
7,812,1
7,822,1
7,829,1
7,852,1
7,854,1
7,855,1
7,856,1
7,887,1
7,912,1
7,923,1
7,956,1
7,992,1
7,1001,1
7,1020,1
7,1026,1
7,1030,1
7,1048,1
7,1056,1
7,1058,1
7,1063,1
7,1080,1
7,1086,1
7,1104,1
7,1105,1
7,1110,1
7,1114,1
7,1127,1
7,1130,1
7,1144,1
7,1164,1
7,1188,1
7,1192,1
7,1210,1
7,1219,1
7,1227,1
7,1230,1
7,1233,1
7,1265,1
7,1304,1
7,1305,1
7,1310,1
7,1313,1
7,1323,1
7,1335,1
7,1340,1
7,1342,1
7,1347,1
7,1362,1
7,1364,1
7,1368,1
7,1380,1
7,1387,1
7,1406,1
7,1407,1
7,1419,1
7,1429,1
7,1435,1
7,1436,1
7,1448,1
7,1455,1
7,1463,1
7,1476,1
7,1484,1
7,1490,1
7,1495,1
7,1496,1
7,1510,1
7,1513,1
7,1527,1
7,1558,1
7,1600,1
7,1603,1
7,1619,1
7,1622,1
7,1645,1
7,1651,1
7,1679,1
7,1697,1
8,8,1
8,14,1
8,27,1
8,45,1
8,46,1
8,58,1
8,78,1
8,81,1
8,85,1
8,96,1
8,112,1
8,114,1
8,115,1
8,142,1
8,143,1
8,149,1
8,151,1
8,154,1
8,179,1
8,187,1
8,191,1
8,208,1
8,236,1
8,237,1
8,253,1
8,257,1
8,270,1
8,271,1
8,279,1
8,298,1
8,301,1
8,323,1
8,324,1
8,329,1
8,342,1
8,354,1
8,357,1
8,359,1
8,365,1
8,376,1
8,386,1
8,389,1
8,400,1
8,410,1
8,417,1
8,425,1
8,433,1
8,457,1
8,460,1
8,462,1
8,466,1
8,474,1
8,488,1
8,498,1
8,500,1
8,502,1
8,507,1
8,510,1
8,541,1
8,543,1
8,549,1
8,550,1
8,557,1
8,565,1
8,581,1
8,590,1
8,591,1
8,596,1
8,609,1
8,613,1
8,617,1
8,625,1
8,637,1
8,638,1
8,649,1
8,655,1
8,668,1
8,673,1
8,692,1
8,706,1
8,710,1
8,719,1
8,722,1
8,724,1
8,737,1
8,739,1
8,753,1
8,773,1
8,777,1
8,792,1
8,797,1
8,798,1
8,811,1
8,816,1
8,819,1
8,829,1
8,848,1
8,850,1
8,853,1
8,855,1
8,859,1
8,860,1
8,868,1
8,870,1
8,879,1
8,902,1
8,906,1
8,923,1
8,924,1
8,928,1
8,935,1
8,948,1
8,949,1
8,992,1
8,998,1
8,999,1
8,1001,1
8,1020,1
8,1046,1
8,1055,1
8,1063,1
8,1104,1
8,1114,1
8,1137,1
8,1146,1
8,1152,1
8,1160,1
8,1169,1
8,1192,1
8,1230,1
8,1232,1
8,1233,1
8,1242,1
8,1247,1
8,1253,1
8,1254,1
8,1304,1
8,1305,1
8,1309,1
8,1317,1
8,1323,1
8,1347,1
8,1356,1
8,1364,1
8,1367,1
8,1368,1
8,1371,1
8,1374,1
8,1381,1
8,1382,1
8,1409,1
8,1411,1
8,1416,1
8,1441,1
8,1455,1
8,1472,1
8,1474,1
8,1479,1
8,1483,1
8,1495,1
8,1508,1
8,1560,1
8,1561,1
8,1565,1
8,1576,1
8,1600,1
8,1603,1
8,1613,1
8,1615,1
8,1633,1
8,1650,1
8,1652,1
8,1665,1
8,1670,1
8,1697,1
9,142,1
9,257,1
9,483,1
9,549,1
9,557,1
9,649,1
9,739,1
9,816,1
9,887,1
9,902,1
9,923,1
9,1053,1
9,1130,1
9,1247,1
9,1309,1
9,1472,1
9,1613,1
9,1670,1
10,23,1
10,34,1
10,86,1
10,130,1
10,136,1
10,142,1
10,149,1
10,223,1
10,236,1
10,257,1
10,284,1
10,290,1
10,292,1
10,365,1
10,384,1
10,483,1
10,549,1
10,557,1
10,581,1
10,649,1
10,667,1
10,702,1
10,739,1
10,749,1
10,776,1
10,816,1
10,902,1
10,923,1
10,976,1
10,995,1
10,996,1
10,1055,1
10,1096,1
10,1109,1
10,1160,1
10,1233,1
10,1247,1
10,1309,1
10,1313,1
10,1382,1
10,1407,1
10,1460,1
10,1472,1
10,1474,1
10,1484,1
10,1613,1
10,1670,1
10,1679,1
11,15,1
11,50,1
11,57,1
11,68,1
11,78,1
11,91,1
11,115,1
11,121,1
11,141,1
11,142,1
11,149,1
11,150,1
11,155,1
11,194,1
11,257,1
11,259,1
11,270,1
11,293,1
11,311,1
11,353,1
11,365,1
11,384,1
11,389,1
11,454,1
11,477,1
11,500,1
11,549,1
11,557,1
11,581,1
11,591,1
11,596,1
11,627,1
11,649,1
11,655,1
11,700,1
11,703,1
11,739,1
11,760,1
11,764,1
11,777,1
11,780,1
11,781,1
11,816,1
11,847,1
11,851,1
11,856,1
11,894,1
11,900,1
11,902,1
11,919,1
11,923,1
11,982,1
11,1021,1
11,1044,1
11,1061,1
11,1082,1
11,1143,1
11,1199,1
11,1217,1
11,1222,1
11,1233,1
11,1247,1
11,1283,1
11,1287,1
11,1294,1
11,1309,1
11,1350,1
11,1356,1
11,1357,1
11,1385,1
11,1472,1
11,1476,1
11,1497,1
11,1512,1
11,1515,1
11,1522,1
11,1559,1
11,1562,1
11,1573,1
11,1591,1
11,1594,1
11,1610,1
11,1613,1
11,1617,1
